,year,month,Station_Number,Oxygen,Lat,Lng,Station_Name
0,1995,1,3.0,9.0,38.051667,-121.88,Pittsburg
1,1995,1,6.0,9.1,38.065,-122.035,Roe Island
2,1995,1,9.0,9.2,38.056667,-122.185,Benicia
3,1995,1,13.0,9.0,38.028333,-122.37,N. of Pinole Point
4,1995,1,14.0,9.0,38.006667,-122.405,"""Echo"" Buoy"
5,1995,1,15.0,9.0,37.973333,-122.436667,Point San Pablo
6,1995,1,16.0,9.0,37.916667,-122.446667,"""Charlie"" Buoy"
7,1995,1,17.0,9.0,37.878333,-122.421667,Raccoon Strait
8,1995,1,18.0,9.0,37.846667,-122.421667,Point Blunt
9,1995,1,20.0,9.0,37.82,-122.393333,Blossom Rock
10,1995,1,21.0,8.75,37.788333,-122.358333,Bay Bridge
11,1995,1,22.0,8.7,37.765,-122.358333,Potrero Point
12,1995,1,23.0,8.6,37.728333,-122.336667,Hunter's Point
13,1995,1,24.0,8.7,37.698333,-122.338333,Candlestick Point
14,1995,1,25.0,8.7,37.67,-122.325,Oyster Point
15,1995,1,26.0,7.7,37.636667,-122.313333,San Bruno Shoal
16,1995,1,27.0,8.65,37.618333,-122.291667,San Francisco Airport
17,1995,1,28.0,8.6,37.601667,-122.27,N. of San Mateo Bridge
18,1995,1,29.0,8.75,37.58,-122.245,S. of San Mateo Bridge
19,1995,1,29.5,8.5,37.568333,-122.218333,Steinberger Slough
20,1995,1,30.0,8.55,37.555,-122.19,Redwood Creek
21,1995,1,31.0,7.1,37.528333,-122.158333,Coyote Hills
22,1995,1,32.0,8.55,37.518333,-122.133333,Ravenswood Point
23,1995,1,33.0,8.4,37.508333,-122.121667,Dumbarton Bridge
24,1995,1,34.0,8.45,37.495,-122.098333,Newark Slough
25,1995,1,35.0,8.2,37.48,-122.078333,Mowry Slough
26,1995,1,36.0,8.35,37.471667,-122.066667,Calaveras Point
27,1995,1,649.0,8.9,38.06,-121.8,Sacramento River
28,1995,2,11.0,8.9,38.06,-122.266667,Mare Island
29,1995,2,12.0,8.6,38.051667,-122.311667,Pinole Shoal
30,1995,2,13.0,8.7,38.028333,-122.37,N. of Pinole Point
31,1995,2,14.0,8.9,38.006667,-122.405,"""Echo"" Buoy"
32,1995,2,15.0,9.0,37.973333,-122.436667,Point San Pablo
33,1995,2,16.0,9.1,37.916667,-122.446667,"""Charlie"" Buoy"
34,1995,2,17.0,8.7,37.878333,-122.421667,Raccoon Strait
35,1995,2,18.0,8.8,37.846667,-122.421667,Point Blunt
36,1995,2,20.0,8.6,37.82,-122.393333,Blossom Rock
37,1995,2,21.0,8.6,37.788333,-122.358333,Bay Bridge
38,1995,2,22.0,8.55,37.765,-122.358333,Potrero Point
39,1995,2,23.0,8.4667,37.728333,-122.336667,Hunter's Point
40,1995,2,24.0,8.55,37.698333,-122.338333,Candlestick Point
41,1995,2,25.0,8.8,37.67,-122.325,Oyster Point
42,1995,2,26.0,9.5333,37.636667,-122.313333,San Bruno Shoal
43,1995,2,27.0,9.375,37.618333,-122.291667,San Francisco Airport
44,1995,2,28.0,9.9333,37.601667,-122.27,N. of San Mateo Bridge
45,1995,2,28.5,11.1,37.596667,122.235,Geo Probe
46,1995,2,29.0,10.025,37.58,-122.245,S. of San Mateo Bridge
47,1995,2,29.5,10.1667,37.568333,-122.218333,Steinberger Slough
48,1995,2,30.0,10.05,37.555,-122.19,Redwood Creek
49,1995,2,31.0,10.6333,37.528333,-122.158333,Coyote Hills
50,1995,2,32.0,10.25,37.518333,-122.133333,Ravenswood Point
51,1995,2,33.0,11.3,37.508333,-122.121667,Dumbarton Bridge
52,1995,2,34.0,9.5333,37.495,-122.098333,Newark Slough
53,1995,2,35.0,11.4667,37.48,-122.078333,Mowry Slough
54,1995,2,36.0,10.675,37.471667,-122.066667,Calaveras Point
55,1995,3,10.0,7.6,38.06,-122.208333,Crockett
56,1995,3,11.0,8.4,38.06,-122.266667,Mare Island
57,1995,3,13.0,8.3,38.028333,-122.37,N. of Pinole Point
58,1995,3,14.0,8.4,38.006667,-122.405,"""Echo"" Buoy"
59,1995,3,15.0,8.8,37.973333,-122.436667,Point San Pablo
60,1995,3,16.0,8.4,37.916667,-122.446667,"""Charlie"" Buoy"
61,1995,3,17.0,8.4,37.878333,-122.421667,Raccoon Strait
62,1995,3,18.0,7.9,37.846667,-122.421667,Point Blunt
63,1995,3,20.0,8.2,37.82,-122.393333,Blossom Rock
64,1995,3,21.0,9.325,37.788333,-122.358333,Bay Bridge
